x1,x2,Class
1.957777745,2.409601039,1
2.748971218,2.463959542,1
1.670267276,1.236578355,1
1.255596302,0.6864777598,-1
0.4527849898,-1.547922583,-1
1.431289769,2.637785963,1
1.569208477,-1.259831258,-1
0.3191338823,-0.248443877,-1
0.08725586311,2.957087614,1
3.264761893,2.05281427,1
4.556073812,2.716333019,1
2.615032809,1.248209812,1
4.354132224,-1.565729254,-1
1.378181006,2.736423234,1
3.656330512,-1.753129813,-1
0.8003472073,2.104896585,1
2.224051458,-1.794305755,-1
0.7621368997,-1.065213845,-1
2.471653491,2.716972907,1
0.007660467273,1.449177017,-1
1.052870402,-0.1034767595,-1
1.451883007,2.081297428,1
1.744116254,2.514326565,1
2.386060693,2.440337636,1
2.856587623,1.167571789,1
3.418507097,-0.6903619164,-1
3.248707333,-1.367554607,-1
3.9452112,2.534548688,1
1.073924076,0.5054293373,-1
1.845642705,-0.5196186932,-1
0.0323368713,2.850519938,1
1.984360615,2.415276745,1
1.738909337,1.948407823,1
3.799007275,2.203814713,1
3.329139906,0.5975968002,1
4.334405929,0.1888039265,1
4.995523271,1.618758232,1
1.096523156,-1.668563029,-1
1.708392861,0.2707938706,-1
3.602601775,-2.153629869,-1
1.152946013,0.4862457488,-1
2.834619698,2.297930728,1
1.823526828,1.035913901,1
1.983530889,-0.1140296954,-1
3.556617685,1.157974814,1
2.56700238,-1.695575838,-1
0.3758766616,1.987552294,1
4.078032418,0.3872573064,1
2.436107703,0.005632800119,-1
1.678292869,-1.967528397,-1
3.871602649,0.6922100322,1
0.3616399927,-0.8063533063,-1
0.9566480535,-2.193068625,-1
1.767107309,-0.1744765735,-1
2.435911719,1.569712069,1
3.153392635,-1.49476293,-1
0.4667022283,0.1655967305,-1
2.667222707,2.327783695,1
0.9333486926,0.2211211568,-1
4.600021006,-1.753375581,-1
4.766798819,3.071389196,1
3.670018087,0.09347513132,1
0.955072296,1.774341718,1
4.703325082,2.586742646,1
1.932213011,-0.3361718922,-1
2.511412622,-1.617596476,-1
